,course_code,course_name,credit,roll
0,CSE 1107,Discrete Mathematics,3.00,1707057
1,EEE 1107,Basic Electrical Engineering,3.00,1907025|1807104|1807119|1707057|1707071|1607074
2,MATH 1107,Differential and Integral Calculus,3.00,1807066|1807110|1807121|1707057|1707073|1707111|1607012|1607015|1607024|1607049|1607064|1507120
3,PHY 1107,Physics,3.00,1907025|1707021|1707048|1707057|1707059|1707064|1707071|1707074|1707084|1707088|1707089|1707098|1707119|1607049|1607064|1507099
4,CHEM 1207,Chemistry,3.00,1807051|1807053|1807111|1707071|1707111|1607049|1607064|1507061|1507089
5,CSE 1201,Structured Programming,3.00,1807110|1607012|1607024|1607050|1507036|1507073
6,CSE 1203,Digital Logic Design,3.00,1807051|1807053|1807111|1807119|1707071|1707111|1507061
7,EEE 1217,Analog Electronics,3.00,1807051|1807053|1807110|1807111|1807119|1707035|1707059|1707088|1707096|1707108|1707118|1607001|1607006|1607008|1607012|1607026|1607036|1607049|1607064|1607074|1507061|1507073|1507089|1507099|1507101|1507120
8,EEE 1217,Analog Electronic Circuits,3.00,1107014
9,MATH 1207,Coordinate Geometry and Differential Equations,3.00,1807051|1807111|1807119|1707073|1707074|1707088|1707111|1607008|1607036|1607050|1607051|1507017|1507036|1507061|1507073|1507089|1507120|1407026
10,MATH 1207,Mathematics-II,3.00,1107014
11,CSE 2101,Object Oriented Programming,3.00,1707050|1707118|1607012
12,CSE 2105,Data Structures and Algorithms,3.00,1707050|1707096|1707118|1607050|1507021|1407014
13,CSE 2113,Computer Architecture,3.00,1707050|1707096|1707112|1607050|1607074|1507021|1507025
14,EEE 2113,Digital Electronics,3.00,1707050|1507021|1507099
15,EEE 2113,Digital Electronics and Pulse Techniques,3.00,1207018
16,MATH 2107,Fourier Analysis and Linear Algebra,3.00,1707118|1607002|1607015|1507021|1507036|1407026
17,MATH 2107,Mathematics-III,3.00,1207018|1207052|1107050
18,CSE 2201,Algorithm Analysis and Design,3.00,1707021|1707097|1707112|1607002|1607026|1507101|1207018|1107014
19,CSE 2203,Microprocessors and Microcontrollers,3.00,1707021|1707028|1707037|1707059|1707075|1707077|1707081|1707089|1707096|1707097|1707108|1707112|1607013|1607024|1507101
20,CSE 2207,Numerical Methods,3.00,1607024|1407014
21,EEE 2217,Electrical Drives and Instrumentation,3.00,1307035|1207022|1107050
22,HUM 2207,Economics and Accounting,3.00,1407014
23,MATH 2207,"Complex Variable, Vector Analysis and Statistics",3.00,1707021|1707028|1707088|1707112|1607002|1607015|1607120|1507073|1407026
24,MATH 2207,Mathematics-IV,3.00,1207052
25,CSE 3101,Theory of Computation,3.00,1607002|1607015|1507101|1507115
26,CSE 3101,Theory of Computation,2.00,1207022|1107005|1107050
27,CSE 3119,Software Engineering and Information Systems,3.00,1607112
28,ECE 3115,Data Communication,3.00,1607083|1107014
29,CSE 3201,Operating Systems,3.00,1607083
30,CSE 3207,Applied Statistics and Queuing Theory,3.00,1707035|1607083|1507017|1507115
31,CSE 3207,Mathematical Analysis,3.00,1207022|1107050
32,CSE 3211,Compiler Design,3.00,1607074|1607083|1607111|1507115
33,ECE 3215,Communication Engineering,3.00,1307035
34,HUM 3227,Professional Ethics and Moral Thoughts,3.00,1607111
35,CSE 4105,Computer Networks,3.00,1407026
36,CSE 4127,Image Processing and Computer Vision,3.00,1607070
37,CSE 4223,Digital System Design,3.00,1507120|1407014
38,CSE 4225,Embedded Systems,3.00,1507025
39,CSE 4239,Data Mining,3.00,1207018|1207022
40,CSE 1202,Structured Programming Laboratory,1.50,1807110|1507115
41,EEE 1218,Analog Electronics Laboratory,0.75,1807053
42,CSE 2102,Object Oriented Programming Laboratory,1.50,1607051
43,EEE 2114,Digital Electronics Laboratory,1.50,1507036
44,CSE 2204,Microprocessors and Microcontrollers Laboratory,1.50,1507115
45,ECE 3116,Data Communication Laboratory,0.75,1107005
